Species,Genus,Family,SuperFamily,Order,Class,Major,J_per_mgWM,Mobility_code,Food_code
Flaccisagitta enflata,Flaccisagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Flaccisagitta lyra,Flaccisagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Flaccisagitta hexaptera,Flaccisagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Sagitta bipunctata,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Sagitta serratodentata,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Sagitta sp.,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Cytaeis tetrastyla,Cytaeis,Cytaeididae,Anthomedusae,Hydroida,Hydrozoa,Cnidaria,,3.0,2.0
Phialidium hemisphaericum,Phialidium,Campanulariidae,Leptomedusae,Hydroida,Hydrozoa,Cnidaria,,3.0,3.0
Liriope tetraphylla,Liriope,Geryoniidae,Trachymedusae,Trachylina,Hydrozoa,Cnidaria,,3.0,3.0
Cunina octonaria,Cunina,Cuninidae,Narcomedusida,Trachylina,Hydrozoa,Cnidaria,,3.0,3.0
Rhopalonema velatum,Rhopalonema,Rhopalonematidae,Trachymedusae,Trachylina,Hydrozoa,Cnidaria,,3.0,3.0
Solmaris flavescens,Solmaris,Solmarisidae,Narcomedusida,Trachylina,Hydrozoa,Cnidaria,,3.0,3.0
Porpita sp.,Porpita,Porpitidae,Chondrophora,Chondrophora,Hydrozoa,Cnidaria,,3.0,3.0
Abylopsis tetragona,Abylopsis,Abylidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Agalma okeni,Agalma,Agalmidae,Physophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Agalma elegans,Agalma,Agalmidae,Physophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Stephanonomia bijuga,Stephanonomia,Agalmidae,Physophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Hippopodius hippopus,Hippopodius,Hippopodiidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Sulculeolaria sp.,Sulculeolaria,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Sulculeolaria biloba,Sulculeolaria,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Lensia multicristata,Lensia,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Lensia canoidea,Lensia,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,3.0
Pelagia noctiluca,Pelagia,Pelagiidae,Semaeostomeae,Semaeostomeae,Scyphozoa,Cnidaria,,3.0,2.0
Arachnactis sp.,Arachnactis,Cerianthidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,3.0,3.0
Actinia equina,Actinia,Actiniidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,0.0,3.0
Metridium senile,Metridium,Metridiidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,0.0,3.0
Bunodactis stella,Bunodactis,Actiniidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,0.0,3.0
Callianira bialata,Callianira,Mertensiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Euplokamis stationes,Euplokamis,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Pleurobrachia pileus,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Pleurobrachia rhodopis,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Beroe forskate,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,,3.0,3.0
Actinia equina,Actinia,Actiniidae,Actiniaria,Hexacorallia,Anthozoa,Cnidaria,,0.0,3.0
Hyas coarcatus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas coarcatus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hyas coarcatus,Hyas,Majidae,Brachyura,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Rhodomonas baltica,Rhodomonas,Cryptomonadaceae,Cryptomonadales,Cryptomonadales,Cryptophyceae,Cryptophycophyta,,3.0,0.0
Acartia tonsa,Acartia,Acartiidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Mnemiopsis mccradyi,Mnemiopsis,Mnemiidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,2.0
Gnathophausia ingens,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,,3.0,3.0
Gnathophausia gracilis,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,,3.0,3.0
Charalaspidium sp.,Charalaspidium,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,,3.0,3.0
Sergestes phorcus,Sergestes,Sergestidae,Sergestoidea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Sergestes similis,Sergestes,Sergestidae,Sergestoidea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Sergestes tenuroides,Sergestes,Sergestidae,Sergestoidea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Gennadas propinquus,Gennadas,Benthesicymidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Acanthephyra curtirostris,Acanthephyra,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Systellaspis cristata,Systellaspis,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Systellaspis braueri,Systellaspis,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Hymenodora frontalis,Hymenodora,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Pasiphaea chaeci,Pasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Pasiphaea emarginata,Pasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Parapasiphaea sulcatifrons,Parapasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Bentheuphausia amblyops,Bentheuphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Gaussia princeps,Gaussia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Paracallisoma coecus,Paracallisoma,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Anuropus bathypelagicus,Anuropus,Anuropidae,Flabellifera,Isopoda,Malacostraca,Crustacea,,3.0,3.0
Carinaria sp.,Carinaria,Carinariidae,Neotaenioglossa,Neotaenioglossa,Gastropoda,Mollusca,,3.0,3.0
Teredo navalis,Teredo,Teredinidae,Myoida,Heterodonta,Bivalvia,Mollusca,,3.0,1.0
Sterechinus neumayeri,Sterechinus,Echinidae,Echinoida,Euechinoidea,Echinoidea,Echinodermata,,3.0,1.0
Sterechinus neumayeri,Sterechinus,Echinidae,Echinoida,Euechinoidea,Echinoidea,Echinodermata,,3.0,1.0
Phronima sedentaria,Phronima,Phronimidae,Hyperiidea,Amphipoda,Malacostraca,Crustacea,,3.0,3.0
Meganyctiphanes norvegica,Meganyctiphanes,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Meganyctiphanes norvegica,Meganyctiphanes,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Acartia clausi,Acartia,Acartiidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,3.0
Mastigias sp.,Mastigias,Mastigiidae,Rhizostomeae,Rhizostomeae,Scyphozoa,Cnidaria,,3.0,2.0
Mastigias sp.,Mastigias,Mastigiidae,Rhizostomeae,Rhizostomeae,Scyphozoa,Cnidaria,,3.0,2.0
Spisula subtruncata,Spisula,Mactridae,Veneroida,Heterodonta,Bivalvia,Mollusca,,1.0,1.0
Aequorea victoria,Aequorea,Aequoreidae,Leptomedusae,Hydroida,Hydrozoa,Cnidaria,,3.0,2.0
Calanus cristatus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus cristatus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus cristatus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Enteromorpha linza,Enteromorpha,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,2.54276055,0.0,0.0
Ulva lactuca,Ulva,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,2.54276055,0.0,0.0
Dictyosiphon foeniculaceus,Dictyosiphon,Dictyosiphonaceae,Dictyosiphonales,Dictyosiphonales,Phaeophyceae,Phaeophyta,2.880381229999999,0.0,0.0
Chondrus crispus,Chondrus,Gigartinaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,3.39727176,0.0,0.0
Fucus vesiculosus,Fucus,Fucaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,3.6317886,0.0,0.0
Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Mytilus galloprovincialis,Mytilus,Mytilidae,Mytiloida,Pteriomorphia,Bivalvia,Mollusca,,0.0,1.0
Rhodomonas sp.,Rhodomonas,Cryptomonadaceae,Cryptomonadales,Cryptomonadales,Cryptophyceae,Cryptophycophyta,,3.0,0.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Rhincalanus gigas,Rhincalanus,Eucalanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Sagitta hispida,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,,3.0,3.0
Mycale sp.,Mycale,Mycalidae,Poecilosclerida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Verongia gigantea,Verongia,Verongiidae,Dendroceratida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Tethya crypta,Tethya,Tethyidae,Epipolasida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Dysidea avara,Dysidea,Dysideidae,Dendroceratida,Demospongiae,Demospongiae,Porifera,,0.0,1.0
Euphausia pacifica,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Sicyonia brevirostris,Sicyonia,Penaeidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Penaeus aztecus,Penaeus,Penaeidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Callinectes similis,Callinectes,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Portunus spinicarpus,Portunus,Portunidae,Brachyura,Decapoda,Malacostraca,Crustacea,,2.0,3.0
Calappa sulcata,Calappa,Calappidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,3.0
Hepatus ephelyticus,Hepatus,Calappidae,Brachyura,Decapoda,Malacostraca,Crustacea,,1.0,3.0
Calanoides acutus,Calanoides,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Metridia gerlachei,Metridia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Calanus propinquus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Rhincalanus gigas,Rhincalanus,Eucalanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanoides acutus,Calanoides,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Metridia gerlachei,Metridia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Calanus propinquus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Rhincalanus gigas,Rhincalanus,Eucalanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanoides acutus,Calanoides,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Metridia gerlachei,Metridia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Calanus propinquus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Rhincalanus gigas,Rhincalanus,Eucalanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Euphausia superba,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,,3.0,2.0
Chlamydomonas sp.,Chlamydomonas,Chlamydomonadaceae,Volvocales,Volvocales,Chlorophyceae,Chlorophyta,,3.0,0.0
Simocephalus vetulus,Simocephalus,Daphniidae,Cladocera,Phyllopoda,Branchiopoda,Crustacea,,3.0,1.0
Simocephalus vetulus,Simocephalus,Daphniidae,Cladocera,Phyllopoda,Branchiopoda,Crustacea,,3.0,1.0
Simocephalus vetulus,Simocephalus,Daphniidae,Cladocera,Phyllopoda,Branchiopoda,Crustacea,,3.0,1.0
Simocephalus vetulus,Simocephalus,Daphniidae,Cladocera,Phyllopoda,Branchiopoda,Crustacea,,3.0,1.0
Neomysis mirabilis,Neomysis,Mysidae,Mysida,Mysida,Malacostraca,Crustacea,4.738644,3.0,3.0
Neomysis mirabilis,Neomysis,Mysidae,Mysida,Mysida,Malacostraca,Crustacea,4.019526,3.0,3.0
Neomysis mirabilis,Neomysis,Mysidae,Mysida,Mysida,Malacostraca,Crustacea,3.6208704,3.0,3.0
Calanus cristatus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus cristatus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Calanus plumchrus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,1.0
Bathocyroe fosteri,Bathocyroe,Bathocyroidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Bolinopsis infundibulum,Bolinopsis,Bolinopsidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Bolinopsis vitrea,Bolinopsis,Bolinopsidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Ocyropsis sp.,Ocyropsis,Ocyropsidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Eurhamphaea vexilligera,Eurhamphaea,Eurhampaeidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Mnemiopsis mccradyi,Mnemiopsis,Mnemiidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Mnemiopsis leidyi,Mnemiopsis,Mnemiidae,Lobata,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Pleurobrachia brachei,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Pleurobrachia brachei,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Pleurobrachia pileus,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,3.0
Beroe ovata,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,,3.0,3.0
Beroe gracilis,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,,3.0,3.0
Isochrysis aff. galbana,Isochrysis,Isochrysidaceae,Isochrysidales,Isochrysidales,Prymnesiophyceae,Haptophyta,,3.0,0.0
Electra bellula,Electra,Electridae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Electra crustulenta,Electra,Electridae,Cheilostomata,Cheilostomata,Gymnolaemata,Bryozoa,,0.0,2.0
Spiochaetopterus oculatus,Spiochaetopterus,Spionidae,Canalipalpata,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Spio setosa,Spio,Spionidae,Canalipalpata,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Marenzelleria viridis,Marenzelleria,Spionidae,Canalipalpata,Canalipalpata,Polychaeta,Annelida,,0.0,2.0
Gnathophausia ingens,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,5.624033384853335,3.0,3.0
Gnathophausia ingens,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,1.4191673210000002,3.0,3.0
Euphausia pacifica,Euphausia,Euphausiidae,Euphausiacea,Euphausiacea,Malacostraca,Crustacea,2.902187431,3.0,2.0
Gnathophausia gigas,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,3.2357204591999995,3.0,3.0
Gnathophausia gracilis,Gnathophausia,Lophogastridae,Lophogastrida,Lophogastrida,Malacostraca,Crustacea,3.2382128566666672,3.0,3.0
Boreomysis californica,Boreomysis,Mysidae,Mysida,Mysida,Malacostraca,Crustacea,2.6953849494,3.0,3.0
Sergestes phorcus,Sergestes,Sergestidae,Sergestoidea,Decapoda,Malacostraca,Crustacea,4.0911884115,3.0,3.0
Sergestes similis,Sergestes,Sergestidae,Sergestoidea,Decapoda,Malacostraca,Crustacea,3.36944489544,3.0,3.0
Gennadas propinquus,Gennadas,Benthesicymidae,Penaeoidea,Decapoda,Malacostraca,Crustacea,4.191077947,3.0,3.0
Acanthephyra curtirostris,Acanthephyra,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,4.31277505056,3.0,3.0
Systellaspis cristata,Systellaspis,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,6.155960272266666,3.0,3.0
Hymenodora frontalis,Hymenodora,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,9.0711145188,3.0,3.0
Notostomus sp.,Notostomus,Oplophoridae,Caridea,Decapoda,Malacostraca,Crustacea,1.0343012603,3.0,3.0
Pasiphaea pacifica,Pasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,,3.0,3.0
Pasiphaea chacei,Pasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,2.9929574918833333,3.0,3.0
Pasiphaea emarginata,Pasiphaea,Pasiphaeidae,Caridea,Decapoda,Malacostraca,Crustacea,4.38217551825,3.0,3.0
Plesionika sp.,Plesionika,Pandalidae,Caridea,Decapoda,Malacostraca,Crustacea,4.26720868162,3.0,3.0
Pleuroncodes planipes,Pleuroncodes,Galatheidae,Anomura,Decapoda,Malacostraca,Crustacea,2.1595306800000005,2.0,3.0
Bathycalanus bradyi,Bathycalanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Bathycalanus princeps,Bathycalanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,3.3943043177333334,3.0,2.0
Gaussia princeps,Gaussia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Labidocera jollae,Labidocera,Pontellidae,Calanoida,Gymnoplea,Copepoda,Crustacea,,3.0,2.0
Phronima sedentaria,Phronima,Phronimidae,Hyperiidea,Amphipoda,Malacostraca,Crustacea,0.3732701855533333,3.0,3.0
Hyperia galba,Hyperia,Hyperiidae,Hyperiidea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Paracallisoma coecus,Paracallisoma,Lysianassidae,Gammaridea,Amphipoda,Malacostraca,Crustacea,,2.0,3.0
Gigantocypris agassizii,Gigantocypris,Cyprididae,Podocopa,Ostracoda,Ostracoda,Crustacea,0.1353313420799999,3.0,2.0
Anuropus bathypelagicus,Anuropus,Anuropidae,Flabellifera,Isopoda,Malacostraca,Crustacea,7.09371589092,3.0,2.0
Pleurobrachia sp.,Pleurobrachia,Pleurobrachiidae,Cydippida,Tentaculata,Ctenophora,Ctenophora,,3.0,2.0
Beroe sp.,Beroe,Beroidae,Beroida,Nuda,Ctenophora,Ctenophora,,3.0,3.0
Calycopsis borchgrevinki,Calycopsis,Calycopsidae,Anthomedusae,Hydroida,Hydrozoa,Cnidaria,0.144991,3.0,3.0
Botrynema brucei,Botrynema,Halicreatidae,Trachymedusae,Trachylina,Hydrozoa,Cnidaria,0.0919050666666666,3.0,3.0
Diphyes antarctica,Diphyes,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,0.1830543666666666,3.0,2.0
Atolla wyvillei,Atolla,Atollidae,Coronatae,Coronatae,Scyphozoa,Cnidaria,0.2519244,3.0,3.0
Tomopteris carpenteri,Tomopteris,Tomopteridae,Phyllodocida,Aciculata,Polychaeta,Annelida,1.6490844,3.0,3.0
Salpa fusiformis,Salpa,Salpidae,Salpida,Salpida,Thaliacea,Tunicata,0.1878086666666666,3.0,1.0
Calanoides acutus,Calanoides,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,2.52017855,3.0,1.0
Calanus propinquus,Calanus,Calanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,3.5727165000000003,3.0,1.0
Euaugaptilus laticeps,Euaugaptilus,Augaptilidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.6603832000000005,3.0,1.0
Euchaeta antarctica,Euchaeta,Euchaetidae,Calanoida,Gymnoplea,Copepoda,Crustacea,3.734808000000001,3.0,3.0
Euchirella rostromagna,Euchirella,Lucicitiidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.405509,3.0,2.0
Gaetanus tenuispinus,Gaetanus,Fosshageniidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.9663398,3.0,1.0
Heterorhabdus austrinus,Heterorhabdus,Heterorhabdidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.3688368,3.0,1.0
Heterorhabdus farrani,Heterorhabdus,Heterorhabdidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.284255,3.0,1.0
Metridia gerlachei,Metridia,Metridinidae,Calanoida,Gymnoplea,Copepoda,Crustacea,0.94215975,3.0,2.0
Rhincalanus gigas,Rhincalanus,Eucalanidae,Calanoida,Gymnoplea,Copepoda,Crustacea,1.216224,3.0,2.0
Conchoecia antipoda,Conchoecia,Conchoecinae,Myodocopa,Ostracoda,Ostracoda,Crustacea,1.4535080000000002,3.0,2.0
Conchoecia belgicae,Conchoecia,Conchoecinae,Myodocopa,Ostracoda,Ostracoda,Crustacea,1.1338655999999998,3.0,2.0
Conchoecia hettacra,Conchoecia,Conchoecinae,Myodocopa,Ostracoda,Ostracoda,Crustacea,1.1269125,3.0,2.0
Eukrohnia hamata,Eukrohnia,Eukrohniidae,Phragmophora,Sagittoidea,Chaetognatha,Chaetognatha,0.6650375000000001,3.0,3.0
Sagitta gazellae,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,0.37894455,3.0,3.0
Sagitta marri,Sagitta,Sagittidae,Aphragmophora,Sagittoidea,Chaetognatha,Chaetognatha,1.0504559999999998,3.0,3.0
Vanadis antarctica,Vanadis,Alciopidae,Phyllodocida,Aciculata,Polychaeta,Annelida,1.94403,3.0,3.0
Tomopteris carpenteri,Tomopteris,Tomopteridae,Phyllodocida,Aciculata,Polychaeta,Annelida,1.1330022,3.0,3.0
Atolla wyvillei,Atolla,Atollidae,Coronatae,Coronatae,Scyphozoa,Cnidaria,,3.0,3.0
Diphyes antarctica,Diphyes,Diphyidae,Calycophorae,Siphonophorae,Hydrozoa,Cnidaria,,3.0,2.0
Periphylla periphylla,Periphylla,Periphyllidae,Coronatae,Coronatae,Scyphozoa,Cnidaria,,3.0,3.0
Calycopsis borchgrevinki,Calycopsis,Calycopsidae,Anthomedusae,Hydroida,Hydrozoa,Cnidaria,,3.0,3.0
Salpa thompsoni,Salpa,Salpidae,Salpida,Salpida,Thaliacea,Tunicata,,3.0,1.0
Bryopsis sp.,Bryopsis,Bryopsidaceae,Bryopsidales,Bryopsidales,Chlorophyceae,Chlorophyta,1.9882098,0.0,0.0
Caulerpa brownii,Caulerpa,Caulerpaceae,Caulerpales,Caulerpales,Chlorophyceae,Chlorophyta,6.5167983,0.0,0.0
Codium fragile,Codium,Codiaceae,Caulerpales,Caulerpales,Chlorophyceae,Chlorophyta,0.5407856999999996,0.0,0.0
Enteromorpha sp.,Enteromorpha,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,3.8209049999999993,0.0,0.0
Ulva lactuca,Ulva,Ulvaceae,Ulotrichales,Ulotrichales,Chlorophyceae,Chlorophyta,2.586832199999999,0.0,0.0
Cystophora scalaris,Cystophora,Cystoseiraceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,2.516022,0.0,0.0
Cystophora tortulosa,Cystophora,Cystoseiraceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,1.5292827,0.0,0.0
Durvillaea antarctica,Durvillaea,Durvillaeaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,5.294192399999999,0.0,0.0
Ecklonia radiata,Ecklonia,Alariaceae,Laminariales,Laminariales,Phaeophyceae,Phaeophyta,1.7122090500000002,0.0,0.0
Halopteris funicularis,Halopteris,Styphocaulaceae,Sphacelariales,Sphacelariales,Phaeophyceae,Phaeophyta,,0.0,0.0
Hormosira banksii,Hormosira,Hormosiraceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,1.61520075,0.0,0.0
Lessonia variegata,Lessonia,Lessoniaceae,Laminariales,Laminariales,Phaeophyceae,Phaeophyta,1.34066475,0.0,0.0
Macrocystis pyrifera,Macrocystis,Lessoniaceae,Laminariales,Laminariales,Phaeophyceae,Phaeophyta,1.74803265,0.0,0.0
Marginariella sp.,Marginariella,Seirococcaceae,Fucales,Fucales,Phaeophyceae,Phaeophyta,1.7436384,0.0,0.0
Scytosiphon lomentaria,Scytosiphon,Scytosiphonaceae,Scytosiphonales,Scytosiphonales,Phaeophyceae,Phaeophyta,1.7787924000000002,0.0,0.0
Undaria pinnatifada,Undaria,Alariaceae,Laminariales,Laminariales,Phaeophyceae,Phaeophyta,3.286899,0.0,0.0
Xiphophora gladiata,Xiphophora,Fucaceae,Laminariales,Laminariales,Phaeophyceae,Phaeophyta,2.2147438500000005,0.0,0.0
Zonaria turneriana,Zonaria,Dictyotaceae,Dictyonales,Dictyonales,Phaeophyceae,Phaeophyta,7.319565,0.0,0.0
Carpomitra costata,Carpomitra,Sporochnaceae,Sporochnales,Sporochnales,Phaeophyceae,Phaeophyta,,0.0,0.0
Corallina officinalis,Corallina,Corallinaceae,Cryptonemiales,Florideophycideae,Rhodophytina,Rhodophyta,2.441696399999999,0.0,0.0
Euptilota formosissima,Euptilota,Ceramiaceae,Ceramiales,Florideophycideae,Rhodophytina,Rhodophyta,,0.0,0.0
Gigartina decipiens,Gigartina,Gigartinaceae,Gigartinales,Florideophycideae,Rhodophytina,Rhodophyta,2.4527448,0.0,0.0
